Action,Comedy,Documentary,Drama,Family,Horror,Romance,Thriller
0.168,0.278,0.01,0.206,0.03,0.114,0.062,0.132
0.044,0.174,0.002,0.264,0.138,0.032,0.308,0.038
0.182,0.092,0.01,0.046,0.578,0.032,0.026,0.034
0.12,0.136,0.002,0.12,0.012,0.396,0.032,0.182
0.126,0.248,0.0,0.242,0.04,0.134,0.08,0.13
0.046,0.128,0.0,0.556,0.002,0.022,0.148,0.098
0.064,0.172,0.216,0.248,0.036,0.102,0.088,0.074
0.064,0.12,0.0,0.23,0.008,0.276,0.112,0.19
0.214,0.148,0.034,0.148,0.202,0.108,0.066,0.08
0.43,0.132,0.0,0.106,0.024,0.03,0.076,0.202
0.13,0.328,0.01,0.226,0.034,0.064,0.086,0.122
0.124,0.174,0.004,0.186,0.054,0.158,0.066,0.234
0.018,0.124,0.004,0.546,0.008,0.038,0.174,0.088
0.268,0.112,0.02,0.22,0.02,0.122,0.12,0.118
0.15,0.06,0.0,0.302,0.01,0.108,0.048,0.322
0.14,0.132,0.008,0.258,0.016,0.2,0.052,0.194
0.096,0.188,0.168,0.302,0.07,0.044,0.078,0.054
0.128,0.102,0.004,0.26,0.054,0.188,0.102,0.162
0.152,0.324,0.0,0.22,0.01,0.092,0.086,0.116
0.242,0.164,0.02,0.288,0.026,0.036,0.134,0.09
0.174,0.402,0.002,0.13,0.052,0.138,0.056,0.046
0.082,0.108,0.006,0.424,0.144,0.036,0.142,0.058
0.116,0.178,0.002,0.108,0.406,0.05,0.076,0.064
0.198,0.058,0.01,0.1,0.476,0.016,0.096,0.046
0.244,0.19,0.008,0.184,0.03,0.208,0.088,0.048
0.04,0.132,0.006,0.296,0.01,0.046,0.398,0.072
0.018,0.154,0.0,0.3,0.02,0.012,0.414,0.082
0.05,0.166,0.002,0.462,0.052,0.078,0.098,0.092
0.144,0.162,0.0,0.294,0.018,0.064,0.054,0.264
0.056,0.17,0.064,0.448,0.048,0.026,0.112,0.076
0.114,0.112,0.048,0.166,0.432,0.044,0.046,0.038
0.234,0.106,0.03,0.306,0.008,0.132,0.1,0.084
0.062,0.27,0.038,0.044,0.538,0.006,0.03,0.012
0.064,0.112,0.0,0.314,0.016,0.058,0.138,0.298
0.07,0.058,0.0,0.248,0.002,0.01,0.588,0.024
0.12,0.19,0.008,0.208,0.19,0.078,0.096,0.11
0.182,0.23,0.038,0.258,0.052,0.038,0.134,0.068
0.118,0.136,0.0,0.316,0.002,0.11,0.092,0.226
0.05,0.304,0.0,0.218,0.01,0.126,0.078,0.214
0.144,0.25,0.0,0.132,0.038,0.062,0.172,0.202
0.042,0.066,0.002,0.59,0.01,0.018,0.228,0.044
0.034,0.11,0.006,0.51,0.01,0.136,0.06,0.134
0.222,0.07,0.006,0.38,0.02,0.058,0.128,0.116
0.108,0.122,0.1,0.324,0.044,0.084,0.076,0.142
0.078,0.064,0.0,0.446,0.006,0.036,0.182,0.188
0.558,0.08,0.002,0.096,0.016,0.004,0.024,0.22
0.024,0.024,0.0,0.76,0.004,0.032,0.07,0.086
0.038,0.128,0.0,0.344,0.004,0.02,0.42,0.046
0.22,0.068,0.002,0.31,0.014,0.034,0.266,0.086
0.088,0.248,0.0,0.258,0.022,0.106,0.094,0.184
0.132,0.124,0.008,0.328,0.026,0.158,0.082,0.142
0.072,0.154,0.004,0.356,0.002,0.15,0.086,0.176
0.114,0.314,0.0,0.118,0.01,0.264,0.074,0.106
0.016,0.07,0.0,0.386,0.008,0.026,0.392,0.102
0.024,0.05,0.0,0.036,0.0,0.718,0.052,0.12
0.112,0.292,0.0,0.214,0.052,0.122,0.092,0.116
0.084,0.29,0.0,0.288,0.032,0.044,0.164,0.098
0.05,0.064,0.024,0.508,0.038,0.038,0.196,0.082
0.086,0.246,0.066,0.258,0.028,0.054,0.212,0.05
0.354,0.038,0.006,0.2,0.194,0.01,0.052,0.146
0.024,0.136,0.016,0.434,0.018,0.042,0.28,0.05
0.08,0.134,0.0,0.322,0.028,0.08,0.184,0.172
0.042,0.054,0.0,0.696,0.002,0.034,0.058,0.114
0.046,0.096,0.0,0.658,0.0,0.016,0.132,0.052
0.216,0.096,0.012,0.292,0.014,0.116,0.09,0.164
0.258,0.142,0.002,0.254,0.034,0.106,0.068,0.136
0.116,0.196,0.002,0.248,0.012,0.118,0.182,0.126
0.164,0.198,0.028,0.262,0.018,0.046,0.208,0.076
0.144,0.208,0.068,0.202,0.098,0.072,0.194,0.014
0.072,0.092,0.346,0.25,0.044,0.064,0.102,0.03
0.172,0.206,0.0,0.196,0.052,0.14,0.058,0.176
0.092,0.104,0.004,0.338,0.014,0.094,0.324,0.03
0.01,0.036,0.006,0.756,0.014,0.006,0.164,0.008
0.112,0.168,0.054,0.336,0.028,0.096,0.118,0.088
0.096,0.132,0.05,0.406,0.032,0.074,0.152,0.058
0.078,0.162,0.0,0.394,0.006,0.056,0.208,0.096
0.06,0.118,0.0,0.556,0.004,0.002,0.18,0.08
0.038,0.092,0.0,0.196,0.004,0.008,0.636,0.026
0.08,0.204,0.034,0.272,0.018,0.096,0.176,0.12
0.2,0.208,0.002,0.11,0.18,0.038,0.078,0.184
0.088,0.236,0.0,0.174,0.006,0.114,0.068,0.314
0.038,0.13,0.0,0.312,0.002,0.02,0.402,0.096
0.022,0.054,0.014,0.668,0.01,0.012,0.2,0.02
0.036,0.096,0.002,0.474,0.002,0.026,0.286,0.078
0.046,0.106,0.004,0.346,0.006,0.196,0.116,0.18
0.038,0.086,0.0,0.182,0.014,0.454,0.022,0.204
0.022,0.348,0.0,0.288,0.012,0.078,0.144,0.108
0.074,0.112,0.002,0.322,0.008,0.082,0.122,0.278
0.188,0.104,0.002,0.232,0.016,0.198,0.04,0.22
0.046,0.112,0.006,0.544,0.008,0.088,0.114,0.082
0.046,0.106,0.0,0.546,0.004,0.022,0.156,0.12
0.098,0.272,0.002,0.118,0.046,0.03,0.258,0.176
0.158,0.36,0.002,0.066,0.068,0.062,0.128,0.156
0.034,0.078,0.014,0.202,0.006,0.354,0.044,0.268
0.236,0.1,0.002,0.208,0.05,0.154,0.084,0.166
0.104,0.374,0.0,0.136,0.068,0.094,0.136,0.088
0.064,0.088,0.006,0.506,0.01,0.046,0.204,0.076
0.096,0.288,0.004,0.182,0.062,0.084,0.168,0.116
0.078,0.296,0.002,0.224,0.086,0.164,0.092,0.058
0.102,0.172,0.006,0.28,0.026,0.098,0.126,0.19
0.048,0.232,0.0,0.398,0.058,0.03,0.158,0.076
0.068,0.17,0.02,0.266,0.03,0.17,0.144,0.132
0.098,0.052,0.024,0.112,0.564,0.008,0.11,0.032
0.166,0.056,0.002,0.064,0.572,0.0,0.122,0.018
0.09,0.092,0.0,0.268,0.014,0.218,0.038,0.28
0.21,0.336,0.002,0.108,0.026,0.108,0.078,0.132
0.066,0.028,0.0,0.178,0.004,0.462,0.026,0.236
0.048,0.112,0.006,0.434,0.032,0.074,0.228,0.066
0.06,0.212,0.004,0.356,0.058,0.04,0.198,0.072
0.072,0.326,0.0,0.302,0.008,0.068,0.114,0.11
0.036,0.076,0.014,0.594,0.004,0.03,0.182,0.064
0.022,0.094,0.022,0.644,0.01,0.008,0.134,0.066
0.108,0.078,0.016,0.432,0.014,0.056,0.158,0.138
0.068,0.14,0.008,0.318,0.006,0.102,0.05,0.308
0.058,0.084,0.444,0.182,0.072,0.074,0.034,0.052
0.058,0.122,0.044,0.424,0.052,0.078,0.166,0.056
0.126,0.154,0.018,0.45,0.004,0.022,0.184,0.042
0.072,0.142,0.016,0.552,0.04,0.042,0.086,0.05
0.16,0.276,0.006,0.128,0.05,0.172,0.064,0.144
0.042,0.12,0.002,0.49,0.016,0.014,0.28,0.036
0.036,0.06,0.0,0.18,0.004,0.346,0.034,0.34
0.048,0.278,0.094,0.338,0.03,0.058,0.098,0.056
0.056,0.146,0.0,0.426,0.012,0.106,0.166,0.088
0.088,0.23,0.002,0.328,0.014,0.03,0.198,0.11
0.132,0.192,0.02,0.334,0.03,0.104,0.142,0.046
0.046,0.164,0.004,0.35,0.008,0.16,0.1,0.168
0.106,0.038,0.0,0.574,0.02,0.022,0.144,0.096
0.132,0.084,0.002,0.208,0.01,0.236,0.032,0.296
0.044,0.056,0.0,0.416,0.008,0.134,0.152,0.19
0.03,0.244,0.0,0.146,0.006,0.4,0.072,0.102
0.34,0.042,0.0,0.214,0.012,0.002,0.092,0.298
0.728,0.028,0.0,0.12,0.024,0.0,0.022,0.078
0.262,0.038,0.004,0.078,0.578,0.002,0.016,0.022
0.098,0.202,0.014,0.244,0.038,0.062,0.282,0.06
0.092,0.2,0.0,0.24,0.27,0.018,0.106,0.074
0.062,0.098,0.002,0.326,0.018,0.17,0.08,0.244
0.084,0.086,0.008,0.486,0.016,0.046,0.202,0.072
0.054,0.09,0.004,0.604,0.002,0.034,0.156,0.056
0.034,0.21,0.002,0.372,0.006,0.068,0.114,0.194
0.15,0.18,0.002,0.102,0.058,0.296,0.066,0.146
0.414,0.064,0.0,0.208,0.034,0.024,0.14,0.116
0.064,0.122,0.018,0.306,0.01,0.316,0.06,0.104
0.102,0.144,0.0,0.396,0.022,0.072,0.166,0.098
0.078,0.248,0.006,0.172,0.024,0.192,0.112,0.168
0.118,0.11,0.0,0.116,0.014,0.272,0.016,0.354
0.058,0.086,0.014,0.404,0.016,0.078,0.28,0.064
0.044,0.088,0.004,0.526,0.006,0.036,0.224,0.072
0.052,0.128,0.014,0.368,0.02,0.014,0.354,0.05
0.1,0.198,0.0,0.318,0.028,0.038,0.13,0.188
0.074,0.19,0.064,0.226,0.05,0.096,0.216,0.084
0.136,0.12,0.01,0.256,0.01,0.164,0.114,0.19
0.21,0.108,0.008,0.274,0.014,0.112,0.126,0.148
0.08,0.214,0.002,0.35,0.024,0.124,0.114,0.092
0.092,0.222,0.02,0.46,0.046,0.028,0.102,0.03
0.118,0.284,0.014,0.332,0.052,0.048,0.086,0.066
0.05,0.24,0.06,0.434,0.034,0.062,0.08,0.04
0.07,0.054,0.002,0.312,0.004,0.02,0.494,0.044
0.084,0.058,0.024,0.514,0.008,0.08,0.112,0.12
0.038,0.276,0.01,0.366,0.006,0.022,0.184,0.098
0.042,0.206,0.0,0.41,0.012,0.056,0.156,0.118
0.088,0.08,0.314,0.344,0.018,0.008,0.102,0.046
0.03,0.16,0.01,0.408,0.008,0.034,0.298,0.052
0.054,0.084,0.036,0.622,0.022,0.022,0.112,0.048
0.022,0.122,0.004,0.594,0.026,0.034,0.164,0.034
0.068,0.268,0.01,0.346,0.01,0.036,0.186,0.076
0.04,0.336,0.0,0.244,0.022,0.03,0.224,0.104
0.05,0.15,0.006,0.416,0.04,0.036,0.254,0.048
0.048,0.126,0.004,0.32,0.014,0.142,0.082,0.264
0.176,0.1,0.02,0.084,0.508,0.03,0.048,0.034
0.148,0.114,0.0,0.164,0.014,0.314,0.05,0.196
0.058,0.244,0.0,0.168,0.024,0.294,0.088,0.124
0.112,0.238,0.124,0.112,0.286,0.03,0.064,0.034
0.114,0.05,0.0,0.53,0.0,0.026,0.204,0.076
0.116,0.19,0.006,0.194,0.046,0.206,0.064,0.178
0.054,0.296,0.0,0.22,0.016,0.064,0.144,0.206
0.264,0.126,0.008,0.104,0.296,0.086,0.044,0.072
0.282,0.09,0.002,0.072,0.302,0.106,0.062,0.084
0.05,0.224,0.024,0.372,0.02,0.078,0.124,0.108
0.036,0.062,0.0,0.672,0.002,0.012,0.104,0.112
0.072,0.102,0.042,0.274,0.014,0.072,0.394,0.03
0.152,0.146,0.028,0.386,0.012,0.05,0.172,0.054
0.12,0.112,0.108,0.294,0.05,0.104,0.1,0.112
0.142,0.18,0.006,0.184,0.046,0.186,0.144,0.112
0.036,0.116,0.0,0.536,0.012,0.004,0.26,0.036
0.082,0.318,0.0,0.128,0.252,0.042,0.146,0.032
0.178,0.086,0.048,0.066,0.572,0.012,0.026,0.012
0.03,0.046,0.0,0.65,0.004,0.014,0.194,0.062
0.162,0.12,0.002,0.348,0.024,0.064,0.214,0.066
0.054,0.21,0.008,0.382,0.006,0.046,0.18,0.114
0.074,0.138,0.008,0.472,0.024,0.042,0.134,0.108
0.078,0.17,0.012,0.2,0.036,0.11,0.316,0.078
0.164,0.12,0.0,0.224,0.032,0.13,0.02,0.31
0.072,0.148,0.1,0.296,0.064,0.072,0.156,0.092
0.034,0.038,0.004,0.774,0.0,0.006,0.09,0.054
0.124,0.102,0.008,0.518,0.004,0.012,0.166,0.066
0.048,0.166,0.002,0.302,0.016,0.036,0.336,0.094
0.14,0.102,0.018,0.35,0.008,0.094,0.062,0.226
0.034,0.194,0.002,0.378,0.006,0.032,0.244,0.11
0.05,0.054,0.0,0.348,0.004,0.016,0.51,0.018
0.032,0.092,0.01,0.586,0.006,0.018,0.186,0.07
0.07,0.114,0.022,0.428,0.008,0.088,0.184,0.086
0.05,0.192,0.0,0.424,0.014,0.04,0.2,0.08
0.054,0.124,0.004,0.542,0.026,0.054,0.142,0.054
0.028,0.066,0.0,0.428,0.004,0.006,0.39,0.078
0.068,0.216,0.002,0.308,0.012,0.064,0.198,0.132
0.044,0.084,0.0,0.324,0.018,0.094,0.364,0.072
0.056,0.11,0.01,0.444,0.036,0.058,0.184,0.102
0.104,0.176,0.252,0.22,0.1,0.036,0.056,0.056
0.06,0.166,0.004,0.33,0.036,0.056,0.314,0.034
0.298,0.246,0.002,0.13,0.02,0.136,0.058,0.11
0.082,0.222,0.0,0.246,0.056,0.086,0.164,0.144
0.104,0.19,0.012,0.394,0.102,0.03,0.114,0.054
0.036,0.284,0.002,0.246,0.024,0.03,0.212,0.166
0.032,0.502,0.0,0.132,0.058,0.024,0.182,0.07
0.052,0.146,0.01,0.388,0.034,0.116,0.142,0.112
0.118,0.054,0.0,0.498,0.0,0.028,0.084,0.218
0.05,0.082,0.0,0.344,0.008,0.02,0.446,0.05
0.034,0.136,0.004,0.542,0.068,0.028,0.134,0.054
0.144,0.146,0.0,0.306,0.016,0.066,0.068,0.254
0.104,0.21,0.056,0.33,0.028,0.058,0.11,0.104
0.04,0.088,0.01,0.484,0.01,0.048,0.248,0.072
0.076,0.148,0.002,0.288,0.002,0.126,0.176,0.182
0.016,0.182,0.0,0.24,0.004,0.018,0.494,0.046
0.168,0.324,0.004,0.138,0.024,0.158,0.058,0.126
0.106,0.12,0.01,0.472,0.032,0.054,0.156,0.05
0.178,0.16,0.0,0.222,0.016,0.136,0.076,0.212
0.048,0.174,0.0,0.294,0.016,0.03,0.32,0.118
0.1,0.064,0.004,0.312,0.002,0.024,0.472,0.022
0.074,0.224,0.0,0.228,0.026,0.206,0.08,0.162
0.036,0.454,0.0,0.212,0.038,0.01,0.198,0.052
0.052,0.302,0.092,0.396,0.022,0.022,0.082,0.032
0.424,0.094,0.004,0.078,0.012,0.22,0.014,0.154
0.064,0.054,0.002,0.56,0.002,0.026,0.192,0.1
0.078,0.276,0.002,0.342,0.028,0.052,0.162,0.06
0.126,0.184,0.008,0.126,0.112,0.232,0.078,0.134
0.08,0.152,0.008,0.402,0.078,0.064,0.14,0.076
0.124,0.07,0.004,0.372,0.02,0.09,0.212,0.108
0.06,0.146,0.048,0.528,0.03,0.052,0.094,0.042
0.092,0.172,0.002,0.286,0.032,0.048,0.208,0.16
0.15,0.138,0.006,0.37,0.03,0.042,0.146,0.118
0.336,0.194,0.01,0.172,0.044,0.098,0.074,0.072
0.028,0.238,0.0,0.286,0.01,0.124,0.202,0.112
0.114,0.042,0.0,0.362,0.002,0.124,0.086,0.27
0.35,0.13,0.008,0.206,0.008,0.092,0.082,0.124
0.112,0.204,0.0,0.218,0.028,0.128,0.122,0.188
0.05,0.168,0.006,0.378,0.118,0.042,0.178,0.06
0.178,0.032,0.004,0.138,0.536,0.018,0.08,0.014
0.012,0.106,0.012,0.65,0.006,0.01,0.154,0.05
0.05,0.134,0.024,0.486,0.01,0.038,0.206,0.052
0.144,0.038,0.0,0.584,0.0,0.014,0.072,0.148
0.052,0.18,0.012,0.552,0.02,0.008,0.122,0.054
0.058,0.302,0.004,0.32,0.036,0.016,0.21,0.054
0.154,0.094,0.0,0.33,0.184,0.016,0.122,0.1
0.018,0.068,0.006,0.508,0.006,0.028,0.244,0.122
0.022,0.16,0.0,0.428,0.012,0.022,0.204,0.152
0.038,0.026,0.01,0.754,0.004,0.018,0.128,0.022
0.074,0.12,0.006,0.168,0.03,0.312,0.062,0.228
0.094,0.072,0.004,0.34,0.018,0.016,0.402,0.054
0.166,0.102,0.0,0.29,0.054,0.024,0.298,0.066
0.15,0.108,0.006,0.316,0.002,0.132,0.136,0.15
0.288,0.196,0.0,0.2,0.028,0.046,0.082,0.16
0.06,0.066,0.274,0.346,0.05,0.034,0.124,0.046
0.038,0.552,0.0,0.08,0.074,0.04,0.18,0.036
0.034,0.076,0.004,0.466,0.006,0.03,0.318,0.066
0.02,0.124,0.0,0.664,0.006,0.016,0.142,0.028
0.202,0.126,0.0,0.36,0.016,0.02,0.114,0.162
0.046,0.112,0.002,0.604,0.006,0.01,0.122,0.098
0.172,0.104,0.0,0.4,0.012,0.05,0.092,0.17
0.14,0.104,0.002,0.47,0.012,0.02,0.22,0.032
0.192,0.1,0.004,0.328,0.038,0.14,0.14,0.058
0.042,0.14,0.024,0.52,0.01,0.056,0.152,0.056
0.26,0.142,0.022,0.174,0.018,0.186,0.074,0.124
0.026,0.116,0.0,0.55,0.004,0.038,0.172,0.094
0.046,0.148,0.006,0.448,0.024,0.072,0.194,0.062
0.122,0.07,0.002,0.412,0.008,0.012,0.222,0.152
0.04,0.132,0.002,0.338,0.006,0.08,0.14,0.262
0.136,0.184,0.068,0.234,0.07,0.126,0.082,0.1
0.136,0.118,0.002,0.368,0.01,0.13,0.04,0.196
0.114,0.1,0.004,0.31,0.012,0.02,0.406,0.034
0.044,0.088,0.004,0.434,0.004,0.064,0.23,0.132
0.106,0.144,0.0,0.284,0.092,0.032,0.208,0.134
0.064,0.16,0.36,0.24,0.05,0.056,0.038,0.032
0.39,0.122,0.016,0.122,0.018,0.16,0.074,0.098
0.098,0.162,0.02,0.308,0.05,0.078,0.182,0.102
0.082,0.052,0.0,0.596,0.014,0.06,0.08,0.116
0.424,0.126,0.012,0.158,0.05,0.098,0.086,0.046
0.076,0.304,0.004,0.166,0.256,0.042,0.118,0.034
0.196,0.166,0.002,0.332,0.02,0.058,0.064,0.162
0.068,0.056,0.008,0.642,0.006,0.008,0.126,0.086
0.16,0.126,0.03,0.368,0.052,0.054,0.14,0.07
0.038,0.272,0.006,0.324,0.036,0.05,0.194,0.08
0.08,0.288,0.002,0.24,0.026,0.124,0.096,0.144
0.1,0.114,0.0,0.254,0.02,0.22,0.054,0.238
0.534,0.046,0.0,0.104,0.042,0.12,0.014,0.14
0.1,0.176,0.0,0.39,0.004,0.072,0.052,0.206
0.144,0.176,0.022,0.388,0.01,0.104,0.072,0.084
0.046,0.234,0.006,0.29,0.028,0.05,0.256,0.09
0.358,0.092,0.004,0.112,0.002,0.208,0.016,0.208
0.092,0.18,0.01,0.266,0.002,0.148,0.15,0.152
0.11,0.076,0.0,0.51,0.016,0.056,0.074,0.158
0.052,0.152,0.016,0.612,0.02,0.012,0.11,0.026
0.02,0.056,0.006,0.656,0.008,0.008,0.182,0.064
0.048,0.15,0.004,0.46,0.006,0.066,0.094,0.172
0.102,0.136,0.002,0.272,0.01,0.102,0.122,0.254
0.044,0.144,0.002,0.44,0.022,0.122,0.09,0.136
0.07,0.08,0.004,0.566,0.01,0.02,0.168,0.082
0.046,0.076,0.014,0.492,0.032,0.05,0.174,0.116
0.086,0.094,0.262,0.338,0.038,0.05,0.072,0.06
0.076,0.148,0.0,0.334,0.004,0.1,0.074,0.264
0.08,0.162,0.028,0.298,0.03,0.216,0.072,0.114
0.072,0.18,0.0,0.4,0.002,0.05,0.134,0.162
0.048,0.068,0.0,0.342,0.004,0.042,0.384,0.112
0.122,0.162,0.0,0.246,0.022,0.064,0.144,0.24
0.072,0.258,0.004,0.196,0.032,0.132,0.162,0.144
0.08,0.07,0.366,0.254,0.038,0.03,0.114,0.048
0.042,0.094,0.01,0.548,0.02,0.032,0.14,0.114
0.06,0.406,0.11,0.148,0.126,0.022,0.088,0.04
0.224,0.054,0.026,0.4,0.04,0.016,0.126,0.114
0.076,0.066,0.0,0.722,0.036,0.006,0.066,0.028
0.132,0.124,0.002,0.384,0.018,0.034,0.222,0.084
0.12,0.226,0.0,0.316,0.02,0.082,0.118,0.118
0.018,0.082,0.002,0.362,0.02,0.02,0.458,0.038
0.018,0.122,0.002,0.586,0.004,0.016,0.2,0.052
0.04,0.408,0.0,0.31,0.002,0.036,0.114,0.09
0.272,0.154,0.0,0.166,0.032,0.156,0.042,0.178
0.068,0.118,0.322,0.276,0.068,0.03,0.092,0.026
0.09,0.232,0.002,0.192,0.164,0.012,0.168,0.14
0.054,0.056,0.458,0.28,0.0,0.018,0.086,0.048
0.146,0.082,0.02,0.382,0.072,0.086,0.146,0.066
0.046,0.126,0.418,0.244,0.036,0.03,0.066,0.034
0.344,0.154,0.006,0.172,0.026,0.13,0.036,0.132
0.124,0.12,0.006,0.438,0.004,0.04,0.208,0.06
0.256,0.16,0.08,0.128,0.274,0.054,0.016,0.032
0.084,0.036,0.028,0.378,0.002,0.022,0.396,0.054
0.198,0.074,0.002,0.442,0.02,0.05,0.12,0.094
0.056,0.106,0.034,0.562,0.036,0.048,0.096,0.062
0.056,0.098,0.53,0.17,0.038,0.022,0.052,0.034
0.052,0.056,0.0,0.164,0.008,0.406,0.048,0.266
0.156,0.132,0.004,0.242,0.026,0.066,0.304,0.07
0.062,0.306,0.0,0.186,0.168,0.026,0.2,0.052
0.03,0.086,0.0,0.414,0.002,0.026,0.416,0.026
0.146,0.084,0.01,0.464,0.01,0.034,0.218,0.034
0.166,0.12,0.008,0.226,0.034,0.154,0.12,0.172
0.048,0.064,0.004,0.614,0.006,0.032,0.084,0.148
0.134,0.024,0.002,0.54,0.014,0.008,0.198,0.08
0.38,0.052,0.002,0.298,0.008,0.1,0.1,0.06
0.098,0.088,0.186,0.412,0.022,0.004,0.148,0.042
0.044,0.106,0.002,0.39,0.01,0.014,0.402,0.032
0.082,0.262,0.022,0.298,0.022,0.082,0.168,0.064
0.11,0.1,0.004,0.122,0.004,0.532,0.016,0.112
0.064,0.172,0.044,0.346,0.03,0.062,0.2,0.082
0.04,0.208,0.008,0.524,0.014,0.01,0.132,0.064
0.212,0.144,0.012,0.35,0.026,0.016,0.204,0.036
0.03,0.234,0.0,0.36,0.018,0.05,0.214,0.094
0.058,0.12,0.016,0.528,0.046,0.028,0.168,0.036
0.036,0.11,0.0,0.434,0.004,0.01,0.36,0.046
0.012,0.026,0.0,0.804,0.0,0.004,0.108,0.046
0.368,0.062,0.008,0.276,0.006,0.038,0.168,0.074
0.082,0.072,0.004,0.41,0.006,0.104,0.214,0.108
0.054,0.38,0.0,0.222,0.004,0.042,0.144,0.154
0.096,0.05,0.014,0.51,0.018,0.014,0.258,0.04
0.068,0.154,0.002,0.348,0.006,0.12,0.12,0.182
0.388,0.068,0.0,0.19,0.006,0.012,0.048,0.288
0.042,0.172,0.01,0.392,0.014,0.032,0.284,0.054
0.168,0.254,0.04,0.272,0.032,0.102,0.07,0.062
0.172,0.118,0.198,0.244,0.16,0.018,0.05,0.04
0.124,0.122,0.004,0.334,0.03,0.11,0.12,0.156
0.08,0.054,0.0,0.616,0.006,0.026,0.146,0.072
0.042,0.104,0.016,0.458,0.008,0.072,0.148,0.152
0.062,0.136,0.062,0.544,0.02,0.02,0.126,0.03
0.036,0.15,0.0,0.236,0.002,0.044,0.468,0.064
0.052,0.124,0.03,0.258,0.03,0.19,0.178,0.138
0.07,0.044,0.002,0.64,0.004,0.042,0.128,0.07
0.044,0.122,0.006,0.262,0.056,0.056,0.408,0.046
0.2,0.108,0.006,0.126,0.026,0.306,0.04,0.188
0.314,0.16,0.006,0.112,0.026,0.276,0.044,0.062
0.128,0.292,0.0,0.236,0.026,0.068,0.136,0.114
0.278,0.154,0.0,0.238,0.012,0.096,0.064,0.158
0.094,0.284,0.0,0.172,0.032,0.148,0.166,0.104
0.042,0.22,0.012,0.274,0.016,0.042,0.244,0.15
0.11,0.206,0.0,0.26,0.092,0.042,0.14,0.15
0.098,0.178,0.0,0.392,0.014,0.014,0.262,0.042
0.424,0.098,0.032,0.242,0.044,0.046,0.046,0.068
0.02,0.14,0.008,0.474,0.002,0.118,0.114,0.124
0.346,0.082,0.0,0.098,0.022,0.148,0.024,0.28
0.038,0.082,0.002,0.688,0.008,0.012,0.142,0.028
0.174,0.036,0.004,0.57,0.004,0.03,0.064,0.118
0.098,0.132,0.0,0.34,0.022,0.026,0.218,0.164
