Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,id
0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,274870
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,244786
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,334543
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,121856
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,240832
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,324786
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,122917
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296524
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,140607
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,87101
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,211672
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356305
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,228150
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,388399
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,119450
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,194662
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,131631
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,209112
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,76338
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99861
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14564
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,324552
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,313369
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,127585
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,155
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,210577
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168259
1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,27205
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,281007
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,242582
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,376867
0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,286217
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,262500
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,19995
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47971
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,177572
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24428
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,102899
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,550
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,302401
1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,98566
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348893
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,343611
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,283366
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,419430
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,603
1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,166426
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,205596
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,680
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,297761
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,302946
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,278
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,341174
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38810
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,324560
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,369885
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,49026
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10195
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,340666
0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,150689
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,207932
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,679
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,120
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,285
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100402
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,281957
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,177677
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,198663
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,382591
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,440249
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10138
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,188927
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1726
1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,158852
0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,181533
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,284053
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,16869
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,61791
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,58
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,122
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,277
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,68721
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,597
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,311324
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,346685
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8587
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206647
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,137113
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,136799
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,334541
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,254128
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49051
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,198184
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9323
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,425
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,348
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,324668
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384682
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12444
1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,290250
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,152601
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20352
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1865
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,671
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,11324
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,673
0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,8966
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214756
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,238
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,102382
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,76757
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,273248
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,376134
0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,4922
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,13
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14160
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,218
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1771
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,424
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294254
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,807
0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,340837
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,68718
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,257344
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1091
1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,262841
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,49521
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,262504
1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,291805
0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,675
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,694
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1124
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91314
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,278927
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,72105
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,264660
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54138
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,68730
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,77
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,59210
0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,141
0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,10020
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,137116
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,156022
0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,106646
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,954
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,157350
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,216015
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47933
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,627
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,272
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13590
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,101299
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,70981
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,109445
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,120467
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,277216
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,335988
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,363676
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18785
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,129
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,44214
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,752
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225886
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1417
1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,126889
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1930
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12445
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,333484
0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,2670
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,75656
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37799
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,280
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,278154
0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,372058
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,98
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,337339
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,602
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,453
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37724
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38757
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1402
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,150540
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,49047
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,121
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,131634
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43074
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260346
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,249397
0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,585
0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,105
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2501
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,328111
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,979
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,767
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,57158
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,72190
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,18
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,22970
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,17654
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,101
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19908
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27578
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,411088
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,270303
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,578
1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,49017
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8077
0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,162
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,299687
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,190859
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4638
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,141052
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,539
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,376660
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,6479
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13223
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,78
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36557
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,76203
0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,137
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,68735
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,281338
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,219814
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10681
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,345920
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,672
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,161
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9509
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,431
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,755
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2502
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,296
0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,812
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5876
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,140300
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,258230
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,64690
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,340102
0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,408
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,332210
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2048
0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,365942
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,138843
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,416252
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,328387
1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,608
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,534
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,604
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,500
1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,9806
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,38
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12405
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,258216
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37165
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,557
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,338766
0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2062
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,45269
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,674
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7191
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10764
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,562
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,862
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9325
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12155
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,331583
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41280
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10582
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238713
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,62
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,59967
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,107
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,956
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,49530
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4011
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,350
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,270946
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,769
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10193
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,640
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,307081
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,296096
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,28
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,56292
0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,601
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,52520
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,497
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,68737
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,187
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,333371
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,9693
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,124905
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,64682
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1359
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,857
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,12437
1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,153518
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,559
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1576
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6977
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,300671
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,201088
1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,58574
1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,10528
