animation department,art department,camera and electrical department,cast,casting department,costume department,distributors,editorial department,genres,imdb_id,movie_status_code,mpaa,music department,plot,plot outline,rating,title,visual effects,votes
,96.0,35.0,35.0,11.0,13.0,21.0,10.0,"[u'Drama', u'Romance']",,True,[u'Rated PG-13 for a scene of sensuality and some violence (Certificate No. 37889)'],25.0,"[u'When a single mother and her six-year-old daughter move to rural France and open a chocolate shop - with Sunday hours - across the street from the local church, they are met with some skepticism. But as soon as they coax the townspeople into enjoying their delicious products, they are warmly welcomed.', u'Vianne Rocher and her young daughter are drifters who are met with skepticism and resistance when they move to a conservative town in rural France and open a chocolate shop during Lent. As Vianne begins to work her magic and help those around her, the townspeople are soon won-over by her exuberance and her delicious chocolates - except for the mayor, who is determined to shut her down. When a group of river drifters visit the town, Vianne teaches the townspeople something about acceptance, and finds love for herself along the way.', u""1960, small town France. Vianne Rocher and her pre-teen daughter move into town and open a chocolate shop just as lent is beginning. The town's small-minded mayor can't accept this and does his best to shut her down, but her warm personality and incredible chocolates manage to win over many townsfolk. Things get shaken up even more when a group of river drifters, led by Roux, stop into town (to the even greater distress of the mayor) and Vianne takes up with him. Meanwhile, she's been helping Josephine out of her abusive marriage and her equally freethinking landlord, Amande Voisin, get together with her grandson, Luc, whose mother doesn't approve of Amande's ways."", u'A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.']",[u'A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.'],7.3,[u'Chocolat'],18.0,155553.0
,56.0,70.0,66.0,4.0,11.0,45.0,20.0,"[u'Action', u'Crime', u'Drama', u'Thriller']",,True,"[u'Rated R for violence, language and brief drug use']",23.0,"[u""The murderous Bride is back and she is still continuing her vengeance quest against her ex-boss, Bill, and taking aim at Bill's younger brother Budd and Elle Driver, the only survivors from the squad of assassins who betrayed her four years earlier. It's all leading up to the ultimate confrontation with Bill, the Bride's former master and the man who ordered her execution!"", u""After having successfully crossed the first two members of the Deadly Viper Assassination Squad - Vernita Green, O-Ren Ishii, and the Crazy 88s, The Bride (whose real name is now revealed to be Beatrix Kiddo) sets her sites on the remaining three. While she goes after Bill's brother Bud, Elle Driver, and ultimately Bill herself, we learn more about Beatrix' back story. This includes her time in China training under ultra strict traditionalist martial arts legend Pai Mei - who has a taste for brutal action, and a super-secret technique that can take out any opponent, and how she got to be where she is. Unfortunately Elle and Bud are out to stop her from getting to Bill and learning the truth about the attack on her wedding four years earlier. Getting to Bill will be an ultimately rewarding experience for Beatrix, but can she get through Bud and Elle first?"", u'The Bride woke up after a long coma. The baby that she carried before the coma was gone. The only thing on her mind was to get revenge on the assassination team that betrayed her - a team she was once part of. With two of the people on her Death List taken care of, she must pursue Budd, Elle Driver and of course Bill himself. But she is in for a surprise...', u""Beatrix Kiddo a.k.a The Bride is a female assassin, a trained killer who was betrayed by the Deadly Viper Assassination Squad, led by her former boss Bill who gunned her down on her wedding day leaving her for dead. The Bride awoke four years later and set out to get her vengeance on Bill and the Deadly Viper Assassination Squad who betrayed her. Helped by one of Bill's former tutors, retired sword maker Hattori Hanzo, The Bride begun her quest for vengeance and she killed Vernita Green and O'Ren Ishii. Continuing her quest for vengeance, The Bride sets out to get her vengeance on Bill's younger brother Budd who is now a bouncer at a strip club and Elle Driver, The Bride's one-eyed nemesis and Bill himself, unaware Bill has her daughter B.B in his custody, who she thought died while she was in her coma. Will The Bride succeed and get her vengeance and will she kill Bill?"", u'It all began when the nefarious Deadly Viper Assassination Squad moved in and assassinated the Plympton wedding party at the Two Pines Wedding Chapel in El Paso, TX. Well, all but one: The Bride, their real target. All they managed to do to her was put her in a coma. And four years later, she woke up and swore revenge on the lot of them. It began with the disposing of O-Ren Ishii/""Cottonmouth"" and Vernita Green/""Copperhead"". Now, the ""Black Mamba"" has only three left on her Death List: Budd/""Sidewinder"", Bill\'s brother; Elle Driver/""California Mountain Snake"", the deadly one-eyed assassin; and, of course, Bill/""Snake Charmer"", her boss, teacher, and lover. However, Bill does possess one thing that keeps the ball in his court: B.B., the daughter the Bride thought she had lost in her coma. And now, at this point, the Bride knows only one thing: in the end, she will kill Bill.', u'The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd and the treacherous, one-eyed Elle.']","[u'The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd and the treacherous, one-eyed Elle.']",8.0,[u'Kill Bill: Vol. 2'],21.0,538888.0
2.0,47.0,39.0,27.0,8.0,4.0,39.0,15.0,"[u'Action', u'Horror', u'Sci-Fi', u'Thriller']",,True,"[u'Rated PG-13 for violence, language, horror images, slime and gore']",26.0,"[u'When a private satellite encounters an unidentified source of heat in Antarctica and it is found to be a pyramid buried deep underground , a search team comprising of top-of-the-line archaeologists and engineers is sent to Antarctica to find out more . Once there , the team comes across signs which indicate that the place is inhabited by an unknown alien species . It is not long before the aliens begin to hunt the team members . At the same time , a trio of coming-of-age Predators have arrived to collect the skulls of the aliens as trophies , and the humans are caught between a deadly battle between the two warring species .', u""An expedition of archaeologists on Earth discover an Aztec temple hidden under the Antarctic circle, housing a host of Alien creatures. A group of coming-of-age Predators have also come to the temple, as it has long been a training ground for their race. From there on, it's Aliens vs. Predators, with the humans caught in the middle."", u'Set in the early 21st century on Earth, Charles Weyland, an industrialist billionaire, leads an archaeological expedition in Antartica. Using thermal imaging satellites, Weyland believes to have discovered the ruins of an ancient pyramid temple that predates the Egyptian and Aztec pyramids buried under the ice. Once inside, the team finds the remains of humans with holes in the rib cage and the remains of facehuggers, meaning that the possibility of the temple being uninhabited is very unlikely. To make matters worse, a group of teenage Predators are coming to the temple to perform a coming-of-age ritual that involves fighting to the death with the aliens. Soon, it becomes clear that only one species is getting out alive.', u'Since the beginning of time, the Predators, the feared, hulking alien game hunters, have come to Earth for one simple reason: to engage in a coming of age ritual. To become ""men,"" the teenage Predators have to hunt down a hive of Alien warriors and successfully defeat them and claim the skull as its trophy. However, during one hunting session, the easily aggravated Aliens fight back, leading to the destruction of the two species and the Aztec people who worshiped the Predators as Gods. Nearly two thousand years later, billionaire industrialist Charles Bishop Weyland rediscovers the pyramid, buried thousands of feet under the ice of Antarctica, with his satellites. Knowing that he has discovered something important, Weyland fixes up a team, led by Lex Woods, and heads down to the Antarctic to find the pyramid. But once they get there, the enslaved Queen Alien awakens from her sleep, which results in the production of new eggs and Facehuggers. And to make matters worse, the new hunting clan of teenage Predators, led by the brash and violent Celtic, have arrived, ready to hunt down both the Aliens and the humans within...', u'Thousands of years ago, huntsmen (the predators) found planet earth. While there, they trained humans to build and were reverenced as Gods. Every century, these ""Gods"" would go back to Earth, and when they did, they expected a sacrifice. Humans were used as livestock to breed the vital prey (the aliens). The predators would now combat the prey to establish themselves creditable or to ""carry the mark"" of becoming adults. If the huntsmen (the predators) find themselves losing the battle, they would then self destruct in order to make sure that nothing survives. Billionaire Weyland thinks that he has exposed the remains of an early pyramid temple, that is a cross between the Egyptian and Aztec pyramids. It was hidden under the ice of Bouvet\xf8ya Island in the Antarctic Ocean. Now, what industrialist Charles Weyland and his comprised team of engineers and scientists didn\'t know was that the predators have set a trap for them. They have lured them to this remote location using a heat beam picked up by Weyland\'s satellite. This was done to make sure that the aliens had hosts to breed in. As the humans battle both predators and aliens, predators and aliens also have a battle of the species which will leave only one race standing.', u'During an archaeological expedition on Bouvet\xf8ya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.']","[u'During an archaeological expedition on Bouvet\xf8ya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.']",5.6,[u'AVP: Alien vs. Predator'],325.0,150572.0
,3.0,5.0,6.0,,1.0,23.0,,[u'Drama'],,True,,4.0,"[u""George and Martha are a middle aged married couple, whose charged relationship is defined by vitriolic verbal battles, which underlies what seems like an emotional dependence upon each other. This verbal abuse is fueled by an excessive consumption of alcohol. George being an associate History professor in a New Carthage university where Martha's father is the President adds an extra dimension to their relationship. Late one Saturday evening after a faculty mixer, Martha invites Nick and Honey, an ambitious young Biology professor new to the university and his mousy wife, over for a nightcap. As the evening progresses, Nick and Honey, plied with more alcohol, get caught up in George and Martha's games of needing to hurt each other and everyone around them. The ultimate abuse comes in the form of talk of George and Martha's unseen sixteen year old son, whose birthday is the following day."", u""History professor George and his boozy wife, Martha, return late one Saturday night from a cocktail party at the home of the college president, Martha's father. Martha announces that she invited another couple, newly appointed instructor and his timid wife, Honey, over for a nightcap. When the younger couple arrive, the night erupts into a no-holds-barred torrent of marital angst and verbal tirades."", u""Psychological realism and foul language: George and Martha are as far from the bourgeois 1950s perfect married couple as you can get, alternatively badgering, berating, abusing and loving each other, both alone and accompanied by the naive young married couple that have come over for a nightcap. The fun and games in which George and Martha involve Nick and Honey are a lacerating look at the older couple's existence, where the emotional brutalizing fill an unspeakable void at their center, and a troubling preview of what the younger couple's life could become. Combines the banal, the vulgar and the poetic."", u""One literate and profane night in the pathological marriage of two tortured souls, a middle-aged New England professor and his carping wife. Turning the underbelly of bourgeois academia into a microcosm of human relationships in all their arduous complexities, it's a harrowing descent into the private lives and painful secrets of two couples thrown together for an evening. George is an associate professor of history who has turned to alcohol to deal with his vituperative, vicious wife Martha, whose appetite for administering abuse knows no bounds. Invited to the couple's home for late-night drinks are new professor Nick, and his naive wife Honey, where over the course of the evening, the polished veneer of the hosts tarnishes grotesquely. The witty repartee of consummate sophisticate Martha degenerates into increasingly violent verbal abuse of both her husband and guests, while George's stoic facade crumbles both physically and emotionally. The horrified Nick and Honey initially come off as happier foils to the misery of the older married couple, but the guests are soon mirroring George and Martha in their mutual antagonism, giving voice to buried resentments and alcohol-fueled revelations of repressed injuries."", u'A bitter, aging couple, with the help of alcohol, use a young couple to fuel anguish and emotional pain towards each other.']","[u'A bitter, aging couple, with the help of alcohol, use a young couple to fuel anguish and emotional pain towards each other.']",8.1,"[u""Who's Afraid of Virginia Woolf?""]",,58512.0
,23.0,29.0,45.0,8.0,5.0,21.0,9.0,"[u'Comedy', u'Drama', u'Romance']",,True,"[u'Rated PG-13 for some sexuality, language and drug references']",18.0,"[u""Kate and Charlie have a perfect life planned out before them: buying a house, marriage, kids, the whole works. Kate's fear of flying keeps her in Canada while Charlie goes to Paris for a medical convention. While there Charlie is smitten by the lovely Juliette. He calls off the wedding with Kate and she nervously boards a plane to get him back. She ends up sitting next to the petty French thief Luc Teyssier. He hides a stolen necklace and smuggled grape vine in her bag to get it through customs. Her bag is stolen, the necklace apparently lost, and Kate and Luc head to Cannes -- Luc to find the necklace and Kate get Charlie back. Along the way, Kate and Luc begin having feelings for each other -- which change the course of their lives."", u'A woman flies to France to confront her straying fianc\xe9, but gets into trouble when the charming crook seated next to her uses her for smuggling.']","[u'A woman flies to France to confront her straying fianc\xe9, but gets into trouble when the charming crook seated next to her uses her for smuggling.']",6.5,[u'French Kiss'],22.0,40027.0
,25.0,31.0,74.0,13.0,10.0,35.0,7.0,"[u'Biography', u'Crime', u'Drama', u'History']",,True,[u'Rated R for some violent images and brief strong language'],17.0,"[u""Famed writer Truman Capote, southern born and bred but now part of the New York City social circle, is growing weary of his current assignment of writing autobiographical type pieces for the New Yorker. After reading a newspaper article about the just occurred November 14, 1959 cold blooded murders of the Clutter family in their rural Kansas home, Truman feels compelled to write about that event as his next article. So he and his personal assistant Nelle Harper Lee, also a southern born New Yorker and an aspiring writer of her own, head to Kansas to research the story first-hand. Truman hopes to use his celebrity status to gain access to whomever he needs, such as to Laura Kinney, a friend of the Clutter daughter she who discovered the bodies, and to Alvin Dewey, the lead police investigator and also a Clutter family friend. If his celebrity doesn't work, Truman will grease the wheels by whatever means necessary. When the police eventually charge suspects, two young men named Dick Hickcock and Perry Smith, Truman uses those same tactics to gain access to them. Truman's fascination with the story makes him believe that he can revolutionize writing by expanding the germ of the article into what he calls a non-fiction novel. His personal involvement also changes as he grows emotionally attached to Perry, the seemingly sensitive and thus probable submissive in the criminal pairing, thus Truman becoming part of the story itself. Article or non-fiction novel, Truman knows that he has to take it to its natural conclusion, something which he cannot force. But also missing are the details of the November 14, 1959 event itself, something that neither Dick or Perry have divulged even in testimony."", u'In 1959, Truman Capote, a popular writer for The New Yorker, learns about the horrific and senseless murder of a family of four in Holcomb, Kansas. Inspired by the story material, Capote and his partner, Harper Lee, travel to the town to research for an article. However, as Capote digs deeper into the story, he is inspired to expand the project into what would be his greatest work, In Cold Blood. To that end, he arranges extensive interviews with the prisoners, especially with Perry Smith, a quiet and articulate man with a troubled history. As he works on his book, Capote feels some compassion for Perry which in part prompts him to help the prisoners to some degree. However, that feeling deeply conflicts with his need for closure for his book which only an execution can provide. That conflict and the mixed motives for both interviewer and subject make for a troubling experience that would produce an literary account that would redefine modern non-fiction.', u'On the night of 14 November 1959, in Holcomb, Kansas, a farmhouse is broken into by the criminals Perry Smith and Dick Hickock that expect to get US$ 10,000.00. With the policy of ""no witness"", the murderers kill the entire family. The homosexual writer Truman Capote travels to the small town with his friend Nelle Harper Lee and decide to use the topic to write a book. When the killers are arrested, he becomes friend of Perry for his own interest and then he falls in love for him, and gets a new lawyer for them, postponing their execution until 14 April 1965.', u'In 1959, Truman Capote learns of the murder of a Kansas family and decides to write a book about the case. While researching for his novel In Cold Blood, Capote forms a relationship with one of the killers, Perry Smith, who is on death row.']","[u'In 1959,  learns of the murder of a Kansas family and decides to write a book about the case. While researching for his novel In Cold Blood, Capote forms a relationship with one of the killers, Perry Smith, who is on death row.']",7.4,[u'Capote'],10.0,105511.0
14.0,,,7.0,,,1.0,2.0,"[u'Animation', u'Short', u'Adventure', u'Comedy', u'Family', u'Sci-Fi']",,True,,2.0,"[u""The IceCream truck is in the neighborhood, when Agnes can't get her bike to work, the minions fix it up for her.""]","[u""The IceCream truck is in the neighborhood, when Agnes can't get her bike to work, the minions fix it up for her.""]",7.1,[u'Training Wheels'],4.0,525.0
,6.0,27.0,25.0,6.0,1.0,15.0,1.0,[u'Horror'],,True,"[u'Rated R for strong bloody violence, torture, a rape, disturbing behavior, some graphic nudity, and language']",,"[u""Raised by wolves, a ferine woman and last survivor of a cannibalistic tribe of inbred savages, bathes wounded and vulnerable in a river somewhere in the lush woods of Northeast coast where she used to roam free. Stripped of clothes and anything that could tie her to the human race, the human-like savage beast will seem as the perfect trophy to the eyes of Chris, a misogynistic lawyer, who will hunt the woman down, and like the most precious and elusive prey, he will manage to capture her and bring her home. However, is there a place for a feral, flesh-eating primitive who communicates with grunts and growls, among civilised people? In the days to come, Chris will make the woman his project, and like a proud predator kept in captivity, with the help of his dysfunctional family, he will attempt to domesticate the untamed female by sadistically breaking her will. Soon enough though, no restraints, no training, and certainly no male supremacy will be no match for the raging woman's raw and merciless punishment."", u'When a successful country lawyer captures and attempts to ""civilize"" the last remaining member of a violent clan that has roamed the Northeast coast for decades, he puts the lives of his family in jeopardy.']","[u'When a successful country lawyer captures and attempts to ""civilize"" the last remaining member of a violent clan that has roamed the Northeast coast for decades, he puts the lives of his family in jeopardy.']",6.0,[u'The Woman'],,17966.0
,6.0,22.0,17.0,1.0,,7.0,3.0,"[u'Horror', u'Thriller']",,True,"[u'Rated R for strong grisly violence including disturbing images, torture and terror, some language and drug use']",1.0,"[u""The religious teenager Angie Albright moves to a small town to study Art History in college. She finds a weird roommate and befriends the student and former altar boy Rick. Angie decides to babysit to raise money to buy a bed and she finds an advertisement to work at the distant Stanton Farm in the countryside. She is welcomed by Jim Stanton and his wife Violet that are seeking a babysitter for their son Sam and they make arrangements for Friday night. Meanwhile Angie has the sensation that someone is stalking her and she goes to the police station and reports to Chief Dinneli. On Friday night, Angie's car breaks and Rick gives a ride to Angie to go to the farm. When she is alone with Sam, a stranger breaks in the farmhouse and Angie saves Sam from the man. Soon she learns that she is in the house of evil and nothing is like she thought it would be."", u'In a small college town, a young girl working on a babysitting job in a rural farm is terrorized throughout the night.']","[u'In a small college town, a young girl working on a babysitting job in a rural farm is terrorized throughout the night.']",5.5,[u'Babysitter Wanted'],2.0,6185.0
,14.0,25.0,41.0,1.0,2.0,3.0,2.0,"[u'Action', u'Crime']",,True,"[u'Rated R for violence, language, brief drug use and nudity']",4.0,"[u""Ex-Navy Seal Bobby Kalinowski lives a quiet, peaceful life as a landscape architect in an LA suburb with his wife Dawn and 16 year old daughter Brianna. Tonight they are invited out for an evening on the town by new neighbors clay and Elise Freeman to a happening club downtown. Little did they know that this would be the start of a life or death ordeal for the group. While at the club, Dawn is accosted by one of the club owners, Ethan Bordas. When Bobby intervenes and accidentally kills Ethan defending his wife, his enraged older brother, Seth, puts a one hundred thousand dollar bounty on his head. Now Bobby must escape LA while being pursued by every criminal, wise guy and thug in the city. Bobby decides to separate from his wife and neighbors and revert to his Navy Seal training to survive. To complicate matters, Seth has a corrupt police sergeant preventing Bobby from getting any help from the law! However, they all underestimate the fighting skills and abilities of Bobby Kalinowski who battles through an army of thugs to finally make it back home. But, relentless, Seth doesn't stop there. He targets Bobby's family next and kidnaps his daughter. His plan is successful and he lures Bobby to his seedy warehouse complex for the final showdown."", u""Bobby Kalinowski (Rob Van Dam), is a former Navy Seal enjoying a peaceful life as a landscape architect in Louisiana with his family. The new neighbors Clay Freeman (Edrick Browne) and Elise Freeman (Ava Santana), invite them for a night out at a famous club. The evening takes a turn for the worse when the club owners reveal themselves to be malicious criminals. Bobby gets into a conflict with one of the club owners, Ethan Bordas (Ross Britz). Ethan accidentally falls and is stabbed by his own knife. Ethan's father, Seth Bordas (Jerry Katz), puts a $100,000 bounty on Bobby's head. Also, Bobby is unable to receive help from the law, for Seth has Clay Freeman, and a corrupt police sergeant, working for him. To protect his family and neighbors, Bobby decides to separate himself from them and he calls on his Navy Seal colleague Big Ronnie (David Bautista) for help. Big Ronnie initially refuses, deciding to take the bounty, but later changes his mind and helps Bobby. Seth kidnaps Bobby's 16 year old daughter Brianna (Brooke Frost). Bobby will risk is life for that of his lovely daughter, fighting against Seth and his small army of henchmen."", u'In order to save his kidnapped daughter, an ex-Marine is forced to take on a gang of killers when an accident leaves the brother of a malicious criminal dead.']","[u'In order to save his kidnapped daughter, an ex-Marine is forced to take on a gang of killers when an accident leaves the brother of a malicious criminal dead.']",3.9,[u'Wrong Side of Town'],3.0,2484.0
,62.0,62.0,96.0,20.0,24.0,41.0,30.0,"[u'Action', u'Crime', u'Thriller']",,True,"[u'Rated R for strong violence, language and some sexual content']",36.0,"[u'Ricardo Tubbs is urbane and dead smart. He lives with Bronx-born Intel analyst Trudy, as they work undercover transporting drug loads into South Florida to identify a group responsible for three murders. Sonny Crockett [to the untrained eye, his presentation may seem unorthodox, but procedurally, he is sound] is charismatic and flirtatious until - while undercover working with the supplier of the South Florida group - he gets romantically entangled with Isabella, the Chinese-Cuban wife of an arms and drugs trafficker. The best undercover identity is oneself with the volume turned up and restraint unplugged. The intensity of the case pushes Crockett and Tubbs out onto the edge where identity and fabrication become blurred, where cop and player become one - especially for Crockett in his romance with Isabella and for Tubbs in the provocation of an assault on those he loves.', u""After a tragic security breach in the Joint Inter-Agency Task Force (JIATF), the FBI ask for help from the Miami authorities, who are not part of the compromised group. This assignment goes to Detectives James 'Sonny' Crockett and Ricardo 'Rico' Tubbs. Going undercover as offshore boat racers and outlaw smugglers Sonny Burnett and Rico Cooper, they take on the narcotrafficking network of the mysterious Archangel de Jesus Montoya-Londono and his Cuban Chinese banker Isabella. The intensity of the case pushes Crockett and Tubbs out onto the edge where identity and fabrication become blurred, where cop and player become one - especially when Crockett falls for Isabella, and when there is an assault on Tubbs's loved ones."", u""When an informer, his family and two FBI agents are killed by an international gang of drug dealers, Detectives James 'Sonny' Crockett and Ricardo 'Rico' Tubbs are assigned to work undercover for the FBI in a joint operation to disclose which agency leaked the information to the criminals. They plot a scheme to approach with their team of agents to the manager Jos\xe9 Yero and later to the druglord Arc\xe1ngel de Jes\xfas Montoya. Along the mission, Sonny meets the accountant, investor and mistress of Montoya, Isabella, and after a romantic affair, they fall in love for each other, blurring his professional commitment with his personal feelings."", u'Based on the 1980s TV action/drama, this update focuses on vice detectives Crockett and Tubbs as their respective personal and professional lives become dangerously intertwined.']","[u'Based on the 1980s TV action/drama, this update focuses on vice detectives Crockett and Tubbs as their respective personal and professional lives become dangerously intertwined.']",6.0,[u'Miami Vice'],51.0,95551.0
,3.0,8.0,32.0,1.0,3.0,3.0,2.0,"[u'Crime', u'Thriller']",,True,,,"[u'A couple of brutal and mysterious murders point to Uppsala University. Johan, a last year student at the police academy, gets involved in the investigation. He enrolls a course at the University in order to, under cover, track down the killer.']","[u'A couple of brutal and mysterious murders point to Uppsala University. Johan, a last year student at the police academy, gets involved in the investigation. He enrolls a course at the University in order to, under cover, track down the killer.']",5.0,[u'Den utvalde'],1.0,720.0
,25.0,49.0,153.0,5.0,8.0,32.0,9.0,"[u'Comedy', u'Romance']",,True,[u'Rated PG-13 for some sexual material and brief partial nudity'],14.0,"[u'More than a dozen Angelenos navigate Valentine\'s Day from early morning until midnight. Three couples awake together, but each relationship will sputter; are any worth saving? A grade-school boy wants flowers for his first true love; two high school seniors plan first-time sex at noon; a TV sports reporter gets the assignment to find romance in LA; a star quarterback contemplates his future; two strangers meet on a plane; grandparents, together for years, face a crisis; and, an ""I Hate Valentine\'s Day"" dinner beckons the lonely and the lied to. Can Cupid finish his work by midnight?', u""In Los Angeles on February 14th - Valentines Day - a florist is ready to propose to his girlfriend; a babysitter plans to lose her virginity while her grandparents struggle with their marriage; an elementary school-teacher unknowingly falls in love with a married man; a female army captain befriends a fellow-passenger; the local TV station deputes a Sports Reporter to cover 'Valentines Day'; and the owner of an Indian Restaurant has her hands full with a Punjabi wedding ceremony, and a private 'I Hate Valentine's Day' party."", u""Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.""]","[u""Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.""]",5.7,"[u""Valentine's Day""]",12.0,98890.0
,6.0,27.0,16.0,2.0,2.0,5.0,6.0,"[u'Comedy', u'Drama']",,True,[u'Rated R for some strong sexuality and pervasive language'],7.0,"[u""The relationship between two brothers, a father trying to connect with his sons and the young woman who gets between the three of them. The story begins when Caleb Sinclaire reluctantly picks up his brother Peter at college and brings him and his new girlfriend Emma home for the Thanksgiving holiday. Caleb, who recently broke up with his long-time girlfriend and is wary of relationships, warns Peter that Emma will end up hurting him, but he can't stop himself from being drawn to her. As Caleb's infatuation with Emma grows, he must decide whether to act on his feelings or protect his brother's first love."", u'A man tries to warn his brother away from the new girlfriend he brings home during Thanksgiving, but ends up becoming infatuated with her in the process.']","[u'A man tries to warn his brother away from the new girlfriend he brings home during Thanksgiving, but ends up becoming infatuated with her in the process.']",7.0,[u'The Vicious Kind'],1.0,6794.0
8.0,,,5.0,,,7.0,7.0,"[u'Documentary', u'Animation', u'Drama', u'Family', u'Romance']",,True,"[u'Rated PG for thematic elements, and language including a suggestive reference']",1.0,"[u'Owen Suskind was a boy of considerable promise, until he developed autism at the age of 3. As Owen withdrew into his silent state, his parents almost lost hope that he find some way to interact with his world in some meaningful way. However, that way was found through animated films, especially those of the Walt Disney Company, which provided Owen a way to understand the world through its stories to the point of creating his own. This film covers the life of Owen and how he manages to become as functional as possible with the help of Disney and his family to the point of having his own life. However, Owen soon learns as well that there is more to real life than what Disney can illustrate in animation even as his family prepares itself for an uncertain future with him.', u'A coming of age story about a boy and his family who overcame great challenges by turning Disney animated movies into a language to express love, loss, kinship and brotherhood.']","[u'A coming of age story about a boy and his family who overcame great challenges by turning Disney animated movies into a language to express love, loss, kinship and brotherhood.']",7.6,"[u'Life, Animated']",1.0,3108.0
,2.0,4.0,22.0,1.0,,5.0,1.0,"[u'Animation', u'Action', u'Adventure', u'Comedy', u'Drama', u'Family', u'Fantasy', u'Musical']",,True,,3.0,"[u'Sabrina travels to Australia\'s Great Barrier Reef with her best friend Gwen, a fellow witch from England, for a week-long vacation where they try to help protect a hidden mermaid colony whose habitat is threatened by ocean pollution, and by a local marine biologist, Dr. Julian Martin, determined to find the colony as his claim to fame. While Sabrina finds romance with Barnaby, a ""merman"" from the mermaid colony, Salem the cat finds a posible romance with another witch-turned-into-a-cat, named Hilary, but finds Sabrina\'s problems interfering with his plans.', u'Offshoot of the popular TV show finds the teen witch (Melissa Joan Hart) on a trip with her friend (Tara Charendoff). There she finds romance with a merman.']",[u'Offshoot of the popular TV show finds the teen witch (Melissa Joan Hart) on a trip with her friend (Tara Charendoff). There she finds romance with a merman.'],5.3,"[u'Sabrina, Down Under']",6.0,1298.0
,,,3.0,,,1.0,,[u'Action'],,True,,,,,5.3,[u'K.L menjerit 1'],,13.0
,16.0,23.0,39.0,4.0,4.0,19.0,9.0,"[u'Drama', u'Thriller']",,True,"[u'Rated PG-13 on appeal for thematic material, disturbing situations and some crude sexual content']",5.0,"[u'Dr. Martin Blake, who has spent his life looking for respect, meets an 18-year-old patient named Diane, suffering from a kidney infection, and gets a much-needed boost of self-esteem. However, when her health starts improving, Martin fears losing her, so he begins tampering with her treatment, keeping Diane sick and in the hospital right next to him.', u'Orlando Bloom stars as Dr. Blake, a first year medical resident struggling with loneliness, racked, with self-doubt, and at odds with the head nurse. When a beautiful young patient (Riley Keough) shows him kindness, he will do anything to keep her in his care.', u'A young doctor goes to unconscionable extremes in order to remain in the service of a female patient with a kidney disorder.']",[u'A young doctor goes to unconscionable extremes in order to remain in the service of a female patient with a kidney disorder.'],5.6,[u'The Good Doctor'],4.0,5345.0
,1.0,8.0,5.0,,,7.0,,"[u'Action', u'Drama', u'Sci-Fi', u'Thriller']",,True,,,"[u""Lori and John Wilson, employees of an emergency response center, must find a way to survive the initial lava storms, to save John's father and their two teenage children. Even more importantly, they must find a way to slow the path of the lava storms, to give humankind the time to find a solution to this natural disaster, in order to save humanity and our Earth."", u""John Wilson moves his family - his wife Lori Wilson, and his two teen-aged children, Ian Wilson and Emma Wilson - from New York City back to his small hometown for him and Lori to operate the County Emergency Center as emergency responders. This move, which was in part to be closer to John's recently widowed father Mike Wilson, increases the strain already existing between John and Lori and between parents and offspring. One day, Ian and Emma are off to meet two friends in a local mine shaft. Those friends are found dead, Emma believes from toxic gases as the sulfur smell is stronger than usual. Simultaneously, John and Lori notice a spate of forest fires in the area. When ash starts to fall from the sky, John believes that there is a volcanic upwelling from underground which threatens not only their town but the nearby metropolis. The family bands together not only to save their own lives but the town and the metropolis as well. John and Lori have to try and figure out both how to escape from the impending lava storm and how to minimize its negative impact. Their solution, which may be at cross purposes, threatens all their lives. Through it all, they begin to understand more fully what family really means to them.""]","[u'Lori and John Wilson, employees of an emergency response center, must find a way to survive the initial lava storms...']",2.5,[u'Lava Storm'],3.0,266.0
,2.0,6.0,25.0,,,4.0,1.0,"[u'Drama', u'Horror', u'Thriller']",,True,,,"[u""Meet Tony, a withdrawn, socially-awkward, and unemployed man living in a depressingly blah flat in a working-class part of London. In his free time, when he's not busy being an amateur butcher, Tony enjoys watching VHS action films on a small and obsolete TV, querying escort agencies and prostitutes about their services and prices, meeting new and interesting people on the streets and in gay bars, and taking long walks by the waterside, where he dumps body parts. Tony enjoys the occasional beer and a toke of crack, and is a non-smoker. He's lonely, badly in need of a cuddle, and would love to have you over for a powdered fruit drink and an uncomfortable and mundane chat and that bit of warmth that a corpse just can't provide."", u'A thriller centered on a serial killer in a rundown London suburb.']",[u'A thriller centered on a serial killer in a rundown London suburb.'],6.2,[u'Tony'],3.0,2700.0
